Year,City,Region,Population,Waste and Sewage,Machinery,Electricity and District Heating,Other Heating,Agriculture,Transportation,Industry,Total Emissions
1990,Jyvaeskylae,Central Finland,103921.0,63.2,27.4,388.3,111.5,22.6,226.9,18.2,859.2
2005,Jyvaeskylae,Central Finland,124205.0,30.7,29.4,336.8,101.6,17.3,257.6,27.4,824.7
2010,Jyvaeskylae,Central Finland,130816.0,26.2,29.8,521.3,108.5,18.3,248.9,18.3,1000.0
2015,Jyvaeskylae,Central Finland,137368.0,26.8,34.1,290.7,59.3,15.5,220.9,14.3,689.2
2016,Jyvaeskylae,Central Finland,138850.0,22.1,30.3,301.0,65.8,15.2,243.4,12.4,716.7
2017,Jyvaeskylae,Central Finland,140188.0,20.0,39.0,262.5,57.9,14.3,233.0,9.5,661.8
2018,Jyvaeskylae,Central Finland,141305.0,27.2,33.7,309.4,56.2,14.3,235.6,8.7,709.1
2019,Jyvaeskylae,Central Finland,142400.0,25.6,35.3,282.9,49.7,14.1,224.3,7.3,661.6
2020,Jyvaeskylae,Central Finland,143420.0,25.6,42.8,224.8,42.8,12.9,211.6,7.4,588.6
2021,Jyvaeskylae,Central Finland,144473.0,21.6,31.5,233.9,45.6,12.1,198.4,6.4,569.0
2022,Jyvaeskylae,Central Finland,145887.0,20.8,31.2,195.2,38.9,11.6,192.2,9.0,517.0
1990,Kajaani,Kainuu,39577.0,30.1,11.0,148.3,39.8,20.2,89.5,9.0,348.4
2005,Kajaani,Kainuu,38217.0,17.2,11.7,94.8,35.7,17.0,80.5,7.2,271.8
2010,Kajaani,Kainuu,38157.0,15.7,14.4,141.8,39.4,16.4,78.1,3.2,318.4
2015,Kajaani,Kainuu,37622.0,9.9,11.7,65.2,21.2,15.8,67.5,2.6,202.6
2016,Kajaani,Kainuu,37521.0,10.3,12.2,76.9,22.7,16.3,73.6,2.2,222.6
2017,Kajaani,Kainuu,37239.0,9.9,16.5,70.8,21.5,15.9,69.0,2.5,213.9
2018,Kajaani,Kainuu,36973.0,11.9,16.5,66.3,20.8,14.9,69.7,2.0,209.5
2019,Kajaani,Kainuu,36709.0,9.0,22.0,80.3,19.1,15.1,66.9,1.7,220.2
2020,Kajaani,Kainuu,36567.0,7.5,18.8,61.2,17.1,15.0,63.6,1.7,190.9
2021,Kajaani,Kainuu,36493.0,8.8,17.3,59.4,18.6,15.0,60.3,1.3,186.2
2022,Kajaani,Kainuu,36297.0,8.6,17.7,93.1,15.7,15.4,57.7,1.7,214.7
1990,Kouvola,Kymenlaakso,94352.0,96.0,42.2,143.3,173.7,121.3,226.1,34.7,838.3
2005,Kouvola,Kymenlaakso,89924.0,55.2,40.7,140.6,151.6,86.8,233.8,28.9,757.1
2010,Kouvola,Kymenlaakso,88072.0,49.4,40.0,198.8,160.6,80.4,228.1,34.0,813.1
2015,Kouvola,Kymenlaakso,85855.0,34.2,38.1,94.8,100.2,74.3,183.3,29.7,574.6
2016,Kouvola,Kymenlaakso,85306.0,32.3,35.3,113.5,106.0,75.9,194.8,26.5,605.5
2017,Kouvola,Kymenlaakso,84196.0,30.9,36.7,95.4,100.4,72.6,186.7,28.7,570.3
2018,Kouvola,Kymenlaakso,83177.0,31.2,33.6,104.0,96.5,71.5,191.3,26.4,572.7
2019,Kouvola,Kymenlaakso,82113.0,28.3,36.0,81.5,90.5,74.5,183.8,26.2,536.1
2020,Kouvola,Kymenlaakso,81187.0,29.3,35.7,72.8,79.3,72.9,170.0,23.6,497.7
2021,Kouvola,Kymenlaakso,80454.0,31.5,31.6,85.2,88.8,68.1,164.1,24.3,506.7
2022,Kouvola,Kymenlaakso,79429.0,30.1,32.6,84.9,75.2,65.4,158.7,31.0,490.3
1990,Joensuu,North Karelia,67363.0,55.1,25.3,181.2,85.7,46.6,172.7,28.7,596.0
2005,Joensuu,North Karelia,72292.0,29.3,25.7,135.6,69.9,40.1,159.7,12.5,489.6
2010,Joensuu,North Karelia,73305.0,32.3,23.5,193.1,79.1,33.8,150.6,10.2,541.9
2015,Joensuu,North Karelia,75514.0,33.4,28.9,109.0,43.8,30.3,134.8,8.0,405.5
2016,Joensuu,North Karelia,75848.0,30.6,24.0,130.1,46.9,31.3,148.1,7.0,433.9
2017,Joensuu,North Karelia,76067.0,25.8,27.2,121.5,42.7,29.9,135.1,7.2,404.9
2018,Joensuu,North Karelia,76551.0,25.2,28.5,122.6,40.3,28.9,137.6,6.3,403.9
2019,Joensuu,North Karelia,76850.0,24.1,26.8,103.7,34.9,30.7,131.8,5.9,372.5
2020,Joensuu,North Karelia,76935.0,23.1,25.0,84.6,29.0,30.6,123.6,7.1,336.6
2021,Joensuu,North Karelia,77261.0,21.5,23.2,95.3,32.8,29.6,117.2,6.2,338.7
2022,Joensuu,North Karelia,77513.0,20.5,23.8,79.4,27.7,28.4,112.5,6.5,309.7
1990,Kuopio,North Savo,104675.0,89.1,39.0,332.3,73.8,137.2,228.3,43.4,944.2
2005,Kuopio,North Savo,110208.0,53.4,42.2,393.6,79.0,124.9,227.1,28.8,972.9
2010,Kuopio,North Savo,112336.0,57.3,45.9,506.6,91.5,132.6,223.6,17.2,1102.2
2015,Kuopio,North Savo,116921.0,28.2,43.5,238.3,51.0,125.7,199.6,12.1,724.6
2016,Kuopio,North Savo,117740.0,26.1,41.7,242.3,56.0,127.1,220.1,9.5,745.9
2017,Kuopio,North Savo,118209.0,23.5,43.9,193.2,51.0,125.7,205.6,10.8,675.1
2018,Kuopio,North Savo,118664.0,28.9,46.0,226.4,51.7,127.0,208.9,7.5,717.3
2019,Kuopio,North Savo,119282.0,28.2,42.7,187.8,46.7,127.9,201.8,6.8,662.7
2020,Kuopio,North Savo,120210.0,28.4,46.1,166.0,40.7,126.7,191.6,8.7,627.6
2021,Kuopio,North Savo,121543.0,32.7,42.3,167.7,45.3,120.5,180.6,7.7,614.9
2022,Kuopio,North Savo,122594.0,31.5,45.9,153.3,39.0,117.0,173.6,9.6,586.5
1990,Tampere,Pirkanmaa,172560.0,136.7,28.7,474.3,127.8,10.3,393.8,47.8,1221.3
2005,Tampere,Pirkanmaa,204337.0,73.7,28.9,514.0,100.8,6.4,365.5,52.4,1180.3
2010,Tampere,Pirkanmaa,213217.0,86.9,31.3,686.8,108.3,6.5,352.6,36.3,1355.3
2015,Tampere,Pirkanmaa,225118.0,84.2,31.1,400.4,60.4,6.1,305.4,27.4,956.1
2016,Tampere,Pirkanmaa,228274.0,78.3,30.6,438.4,66.1,6.5,334.3,19.3,1015.1
2017,Tampere,Pirkanmaa,231853.0,75.6,38.7,390.8,61.1,6.0,307.2,20.3,940.1
2018,Tampere,Pirkanmaa,235239.0,68.1,44.8,417.7,61.3,5.6,311.5,16.5,963.7
2019,Tampere,Pirkanmaa,238140.0,72.7,45.7,386.3,52.9,5.9,297.7,15.3,912.2
2020,Tampere,Pirkanmaa,241009.0,65.8,45.2,351.4,44.5,6.3,277.5,13.4,838.1
2021,Tampere,Pirkanmaa,244223.0,62.9,40.6,400.3,49.7,5.9,260.5,11.9,863.3
2022,Tampere,Pirkanmaa,249009.0,59.2,43.8,383.3,40.8,5.9,252.6,15.4,831.0
1990,Pori,Satakunta,85348.0,63.8,25.5,203.9,133.9,35.1,201.6,104.5,769.2
2005,Pori,Satakunta,84455.0,37.9,26.9,185.1,104.0,28.3,187.3,126.8,714.7
2010,Pori,Satakunta,85026.0,39.4,24.4,210.5,113.2,28.3,182.0,83.0,701.8
2015,Pori,Satakunta,85363.0,31.3,24.6,129.7,69.1,24.8,158.9,23.2,480.3
2016,Pori,Satakunta,85059.0,30.3,26.7,141.9,76.4,25.8,174.1,22.2,515.1
2017,Pori,Satakunta,84587.0,29.8,24.0,126.4,70.3,25.5,161.3,24.8,478.7
2018,Pori,Satakunta,84403.0,28.6,24.1,144.9,71.9,24.8,163.2,20.0,492.4
2019,Pori,Satakunta,83934.0,28.2,25.8,126.0,64.6,26.7,156.5,13.3,455.5
2020,Pori,Satakunta,83684.0,28.1,23.9,86.4,53.4,25.6,146.1,12.3,388.9
2021,Pori,Satakunta,83482.0,26.8,21.0,76.6,58.6,24.8,139.2,10.6,370.1
2022,Pori,Satakunta,83205.0,25.4,21.4,59.3,50.7,24.4,132.2,17.0,341.9
1990,Seinaejoki,South Ostrobothnia,47182.0,70.1,25.4,109.4,152.8,94.0,132.7,18.6,603.5
2005,Seinaejoki,South Ostrobothnia,53965.0,38.2,26.5,148.1,88.8,88.1,140.5,17.5,559.8
